id,thoi_gian_gui,ten_thiet_bi,nhiet_do,do_am,led1,led2,led3
6ab07b833bc54f9f2f9a2384,2026-09-21T07:34:11.330000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab07b843bc54f9f2f9a2385,2026-09-21T07:34:12.365000+07:00,pi4-tdbao,26.0,73.0,1,0,0
6ab07b853bc54f9f2f9a2386,2026-09-21T07:34:13.685000+07:00,pi4-tdbao,26.0,73.0,0,1,0
6ab07b863bc54f9f2f9a2387,2026-09-21T07:34:14.825000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab07b873bc54f9f2f9a2388,2026-09-21T07:34:15.535000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab07b883bc54f9f2f9a2389,2026-09-21T07:34:16.553000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab07b893bc54f9f2f9a238a,2026-09-21T07:34:17.480000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab07b8a3bc54f9f2f9a238b,2026-09-21T07:34:18.313000+07:00,pi4-tdbao,26.0,72.0,1,0,0
6ab07b8b3bc54f9f2f9a238c,2026-09-21T07:34:19.535000+07:00,pi4-tdbao,26.0,72.0,0,1,0
6ab07b8c3bc54f9f2f9a238d,2026-09-21T07:34:20.351000+07:00,pi4-tdbao,26.0,72.0,0,0,1
6ab0861325b8f0601e1a3b0c,2026-09-21T08:19:15.695000+07:00,pi4-tdbao,25.0,71.0,1,0,0
6ab0861425b8f0601e1a3b0d,2026-09-21T08:19:16.457000+07:00,pi4-tdbao,25.0,71.0,0,1,0
6ab0861525b8f0601e1a3b0e,2026-09-21T08:19:17.484000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab0861625b8f0601e1a3b0f,2026-09-21T08:19:18.578000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab0861725b8f0601e1a3b10,2026-09-21T08:19:19.454000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab0861825b8f0601e1a3b11,2026-09-21T08:19:20.933000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab0861925b8f0601e1a3b12,2026-09-21T08:19:21.454000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab0861a25b8f0601e1a3b13,2026-09-21T08:19:22.475000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab0861b25b8f0601e1a3b14,2026-09-21T08:19:23.501000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab086f125b8f0601e1a3b15,2026-09-21T08:22:57.923000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab086f225b8f0601e1a3b16,2026-09-21T08:22:58.893000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab086f425b8f0601e1a3b17,2026-09-21T08:23:00.115000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab086f425b8f0601e1a3b18,2026-09-21T08:23:00.896000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab086f525b8f0601e1a3b19,2026-09-21T08:23:01.910000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab086f625b8f0601e1a3b1a,2026-09-21T08:23:02.944000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab0871b25b8f0601e1a3b1b,2026-09-21T08:23:39.653000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab0871c25b8f0601e1a3b1c,2026-09-21T08:23:40.603000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab0871d25b8f0601e1a3b1d,2026-09-21T08:23:41.604000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab0871e25b8f0601e1a3b1e,2026-09-21T08:23:42.616000+07:00,pi4-tdbao,25.0,72.0,1,0,0
6ab0871f25b8f0601e1a3b1f,2026-09-21T08:23:43.604000+07:00,pi4-tdbao,25.0,72.0,0,1,0
6ab0872025b8f0601e1a3b20,2026-09-21T08:23:44.829000+07:00,pi4-tdbao,25.0,72.0,0,0,1
6ab0872125b8f0601e1a3b21,2026-09-21T08:23:45.635000+07:00,pi4-tdbao,25.0,72.0,1,0,0
